#      time         order        tairmean     top       
  62.39019432       1.0000       21.000       21.058    
  63.89019432       1.0000       21.000       21.056    
  65.39019432       1.0000       21.000       21.053    
  66.89019432       1.0000       21.000       21.049    
  68.39019432       1.0000       21.000       21.045    
  69.89019432       1.0000       21.000       21.042    
  71.39019432       1.0000       21.000       21.038    
  71.99174236       1.0000       21.000       21.037    
  71.99174236       1.0000       21.000       21.037    
  74.39174236       1.0000       21.000       21.031    
  75.89174236       1.0000       21.000       21.027    
  77.39174236       1.0000       21.000       21.025    
  78.89174236       1.0000       21.000       21.023    
  80.39174236       1.0000       21.000       21.022    
  81.89174236       1.0000       21.000       21.022    
  83.39174236       1.0000       21.000       21.024    
  84.89174236       1.0000       21.000       21.026    
  86.39174236       1.0000       21.000       21.030    
  87.89174236       1.0000       21.000       21.034    
  89.39174236       1.0000       21.000       21.038    
  90.89174236       1.0000       21.000       21.043    
  92.39174236       1.0000       21.000       21.047    
  93.89174236       1.0000       21.000       21.051    
  95.39174236       1.0000       21.000       21.055    
  95.99867698       1.0000       21.000       21.056    
  95.99867698       1.0000       21.000       21.056    
  98.39867698       1.0000       21.000       21.061    
  98.42018602       1.0000       21.000       21.062    
  98.46320408       1.0000       21.000       21.062    
  98.54924022       1.0000       21.000       21.062    
  98.72131250       1.0000       21.000       21.062    
  99.06545705       1.0000       21.000       21.063    
  99.12575869       1.0000       21.000       21.063    
  99.16815800       1.0000       21.000       21.063    
  99.16815800       1.0000       21.000       21.063    
  101.0881580       1.0000       21.000       21.067    
  101.2328607       1.0000       21.000       21.067    
  101.5222661       1.0000       21.000       21.068    
  101.5739371       1.0000       21.000       21.068    
  101.6772792       1.0000       21.000       21.068    
  101.7806213       1.0000       21.000       21.068    
  101.7806213       1.0000       21.000       21.068    
  102.5253021       1.0000       21.000       21.069    
  102.5703194       1.0000       21.000       21.069    
  102.6603540       1.0000       21.000       21.070    
  102.8404233       1.0000       21.000       21.070    
  103.0823465       1.0000       21.000       21.070    
  103.0823465       1.0000       21.000       21.070    
  103.6780911       1.0000       21.000       21.071    
  104.2738357       1.0000       21.000       21.072    
  105.4653249       1.0000       21.000       21.074    
  106.9653249       1.0000       21.001       21.078    
  108.4653249       1.0000       21.000       21.081    
  109.9653249       1.0000       21.000       21.083    
  111.3042625       1.0000       21.000       21.084    
  111.3042625       1.0000       21.000       21.084    
  113.2106452       1.0000       21.000       21.087    
  114.7106452       1.0000       21.000       21.087    
  116.2106452       1.0000       21.000       21.087    
  117.7106452       1.0000       21.000       21.087    
  119.2106452       1.0000       21.000       21.086    
  120.0122443       1.0000       21.000       21.086    
  120.0122443       1.0000       21.000       21.086    
  122.4122443       1.0000       21.000       21.084    
  123.9122443       1.0000       21.000       21.083    
  125.4122443       1.0000       21.000       21.081    
  126.9122443       1.0000       21.000       21.079    
  128.4122443       1.0000       21.000       21.077    
  129.9122443       1.0000       21.000       21.076    
  131.4122443       1.0000       21.000       21.075    
  132.9122443       1.0000       21.000       21.076    
  134.4122443       1.0000       21.000       21.076    
  135.9122443       1.0000       21.000       21.074    
  137.4122443       1.0000       21.000       21.073    
  138.9122443       1.0000       21.000       21.070    
  140.4122443       1.0000       21.000       21.068    
  141.9122443       1.0000       21.000       21.066    
  143.4122443       1.0000       21.000       21.063    
  144.0260881       1.0000       21.000       21.062    
  144.0260881       1.0000       21.000       21.062    
  146.4260881       1.0000       21.000       21.058    
  147.9260881       1.0000       21.000       21.056    
  149.4260881       1.0000       21.000       21.055    
  150.9260881       1.0000       21.000       21.053    
  152.4260881       1.0000       21.000       21.052    
  153.9260881       1.0000       21.000       21.051    
  155.4260881       1.0000       21.000       21.050    
  156.9260881       1.0000       21.000       21.052    
  158.4260881       1.0000       21.000       21.054    
  159.9260881       1.0000       20.999       21.050    
  161.4260881       1.0000       21.000       21.048    
  162.9260881       1.0000       21.000       21.046    
  164.4260881       1.0000       21.000       21.043    
  165.9260881       1.0000       21.000       21.039    
  167.4260881       1.0000       21.000       21.035    
  168.0330822       1.0000       21.000       21.033    
  168.0330822       1.0000       21.000       21.033    
  170.4330822       1.0000       21.000       21.026    
  171.9330822       1.0000       21.000       21.022    
  173.4330822       1.0000       21.000       21.018    
